Matches,MeanDist,Size,Time
0.0,,1228800,0.09474682807922363
0.625,153.2887954711914,1228800,0.08975982666015625
0.0,,1228800,0.09374880790710449
0.5,144.32722854614258,1228800,0.08876299858093262
0.5714285714285714,185.78406715393066,1228800,0.09773778915405273
1.0,193.17382049560547,1228800,0.04285120964050293
0.0,,1228800,0.09325695037841797
0.8,166.24555587768555,1228800,0.07380557060241699
0.0,,1228800,0.09079265594482422
0.0,,1228800,0.10970687866210938
0.8,152.3509979248047,1228800,0.0971994400024414
0.0,,1228800,0.039893388748168945
1.0,166.65132522583008,1228800,0.10323214530944824
0.6666666666666666,229.82262420654297,1228800,0.05336451530456543
0.625,212.35777587890624,1228800,0.05086374282836914
0.5,164.08643913269043,1228800,0.05585050582885742
0.5555555555555556,210.02463073730468,1228800,0.09571170806884766
0.0,,1228800,0.04388284683227539
0.5,113.10688400268555,1228800,0.0578458309173584
0.0,,1228800,0.0388638973236084
0.6,173.13484064737955,1228800,0.049866437911987305
0.0,,1228800,0.068817138671875
0.8608695652173913,148.20426782935556,1116160,0.04687213897705078
0.0,,849920,0.02792525291442871
0.0,,217352,0.06383085250854492
1.0,186.48791694641113,1228800,0.042883872985839844
0.0,,1228800,0.04886960983276367
0.0,,1228800,0.06482696533203125
0.38461538461538464,131.9508850097656,1228800,0.06183505058288574
0.0,,1228800,0.044388532638549805
0.4,209.71918487548828,1228800,0.10970568656921387
0.0,,1228800,0.1017313003540039
0.8333333333333334,181.9883239746094,1228800,0.11269855499267578
1.0,202.12499237060547,1228800,0.10535335540771484
0.0,,1228800,0.05483269691467285
0.6666666666666666,175.99944019317627,1445120,0.06382942199707031
0.0,,1228800,0.10415768623352051
0,,1228800,0.08820033073425293
0.625,196.87222595214843,1228800,0.06582403182983398
0.0,,1228800,0.059839725494384766
0.5555555555555556,184.11947784423828,1228800,0.05983996391296387
0.45454545454545453,108.88805541992187,951040,0.08577132225036621
0.7142857142857143,200.1671356201172,1228800,0.06183481216430664
0.8,223.9819221496582,1228800,0.1077120304107666
0.8,197.4398307800293,1228800,0.10870981216430664
0.0,,1228800,0.058843135833740234
0.0,,1228800,0.04886960983276367
0.35294117647058826,179.64534759521484,1228800,0.08377575874328613
0.4,183.44756062825522,1228800,0.09721827507019043
0.75,175.08067194620767,1228800,0.10419869422912598
0.0,,1228800,0.09624958038330078
0.5714285714285714,165.31943893432617,1228800,0.09474682807922363
0.6666666666666666,202.7137451171875,1228800,0.10369443893432617
0.8,195.1567611694336,1228800,0.08477306365966797
0.0,,1228800,0.08676838874816895
1.0,132.22588729858398,1228800,0.08477354049682617
0.5,192.71303939819336,1228800,0.07579755783081055
0.0,,1228800,0.04089021682739258
0.0,,1228800,0.07779169082641602
0.0,,1228800,0.08377599716186523
0.5714285714285714,164.1179027557373,1228800,0.09774017333984375
0.8,129.67620849609375,915200,0.08676791191101074
0.0,,1228800,0.10372161865234375
0.625,156.55543518066406,921600,0.05983996391296387
0.0,,1228800,0.10671496391296387
0.6666666666666666,206.95458602905273,1228800,0.06183457374572754
0.0,,1228800,0.10671496391296387
0.0,,1228800,0.11670422554016113
0.8333333333333334,129.0667266845703,1228800,0.08676719665527344
0.0,,1228800,0.08477425575256348
0.0,,1228800,0.1077113151550293
0.5714285714285714,162.426513671875,1228800,0.0907583236694336
0.0,,1228800,0.10771512985229492
0.6666666666666666,143.21953010559082,1228800,0.08827090263366699
0.0,,1228800,0.10970759391784668
0.5714285714285714,179.83284759521484,1228800,0.07878804206848145
0.0,,1228800,0.11369633674621582
0.8,168.19314575195312,1228800,0.09275197982788086
0.8,224.8624267578125,1228800,0.05684709548950195
0.5714285714285714,171.3886260986328,718080,0.09175515174865723
0.0,,1228800,0.04388165473937988
0.8,206.32714462280273,1358080,0.04488062858581543
0.5,153.63308143615723,1228800,0.08976006507873535
1.0,233.14867782592773,1228800,0.04886937141418457
0.6666666666666666,182.16962051391602,1450240,0.12566471099853516
0.0,,1228800,0.09824609756469727
0.7142857142857143,151.2284729003906,1228800,0.09475088119506836
0.0,,1355520,0.09129095077514648
0.0,,1600000,0.1186823844909668
0.45454545454545453,163.91301879882812,1076480,0.09574389457702637
1.0,163.29741668701172,1228800,0.0948629379272461
0.0,,1228800,0.08986091613769531
1.0,231.92011260986328,1228800,0.11021876335144043
0.5714285714285714,201.8704719543457,1228800,0.10272479057312012
0.5714285714285714,167.8173313140869,1228800,0.08574080467224121
1.0,176.8148422241211,1228800,0.0937490463256836
0.5714285714285714,160.44570350646973,1228800,0.08477330207824707
0.0,,1228800,0.0857706069946289
0.625,173.2434280395508,76800,0.007979154586791992
0.0,,169050,0.010970115661621094
0,,1228800,0.00598454475402832
0,,1228800,0.04088997840881348
0.3333333333333333,219.0418815612793,1228800,0.04886984825134277
0,,307200,0.07380294799804688
0.4,186.51462173461914,1228800,0.09973406791687012
0.4,181.96149826049805,1228800,0.07679390907287598
0.6666666666666666,165.54002380371094,1228800,0.08075618743896484
0.0,,1228800,0.07978653907775879
0.8,182.80733108520508,1228800,0.10172748565673828
0.5714285714285714,171.9873809814453,1228800,0.08776545524597168
0,,1228800,0.006982564926147461
0.0,,1228800,0.04330849647521973
0.5555555555555556,228.39779357910157,49152,0.007977724075317383
0.0,,1228800,0.09508466720581055
0.0,,1228800,0.1260228157043457
0.0,,1228800,0.14263343811035156
1.0,198.0417594909668,1228800,0.10372281074523926
0.0,,1228800,0.10671472549438477
0.0,,1228800,0.07779145240783691
1.0,182.68898391723633,921600,0.055850982666015625
